Time Since Last Major Merger [Gyr],Number of Major Mergers
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
11.903627662592406,1
13.8,0
13.8,0
13.8,0
7.58136440778197,2
13.8,0
13.8,0
13.8,0
7.45028378362347,1
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
11.317040961531216,1
13.8,0
7.127191011932116,2
13.8,0
13.8,0
13.8,0
11.164723670049517,1
13.8,0
13.8,0
13.8,0
12.62066479053492,1
13.8,0
13.8,0
13.8,0
13.8,0
9.017171205041501,4
13.8,0
11.164723670049517,1
12.894981355405132,1
4.764322389615253,2
13.8,0
13.8,0
11.472636476156387,2
13.8,0
13.8,0
13.8,0
13.8,0
8.065600192500748,4
13.8,0
13.8,0
12.62066479053492,3
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
11.317040961531216,1
13.8,0
13.8,0
13.8,0
13.8,0
12.361172370658442,2
4.2919130837760475,1
3.9566148760250552,1
13.8,0
8.688041270237903,1
12.894981355405132,1
13.8,0
13.8,0
13.8,0
12.03103276926692,1
13.8,0
13.8,0
13.8,0
10.398502407966777,1
13.8,0
13.8,0
13.8,0
11.164723670049517,1
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
5.2029077325590825,1
13.8,0
13.8,0
7.58136440778197,2
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
8.688041270237903,2
13.8,0
12.698000090258516,2
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
5.060286141005803,1
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
11.564820529584908,1
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
10.08306113048199,3
13.8,0
13.8,0
13.8,0
13.8,0
12.445128288561726,1
11.164723670049517,2
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
12.62066479053492,3
13.8,0
10.398502407966777,1
11.564820529584908,3
10.555201291724902,1
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
4.610762330037529,2
7.790641621123915,2
10.228946019806829,2
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
4.764322389615253,1
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
3.1365850089211653,2
13.8,0
13.8,0
11.564820529584908,2
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
5.9899196835602755,2
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
10.555201291724902,1
13.8,0
13.8,0
9.627308552926124,4
13.8,0
5.74003950188497,1
5.866461537501611,1
13.8,0
13.8,0
13.8,0
12.03103276926692,1
13.8,0
13.8,0
13.8,0
13.8,0
11.472636476156387,1
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
11.903627662592406,2
13.8,0
13.8,0
13.8,0
13.8,0
11.903627662592406,1
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
6.673014217597258,2
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
8.688041270237903,4
3.8701007915577907,2
13.8,0
12.55480493374341,2
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
4.453332039958984,2
13.8,0
13.8,0
10.08306113048199,2
11.903627662592406,2
7.9502325963702285,1
13.8,0
13.8,0
13.8,0
5.866461537501611,2
13.8,0
10.71425401075792,1
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
11.564820529584908,2
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
6.673014217597258,1
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
11.903627662592406,2
10.228946019806829,2
13.8,0
13.8,0
11.007950132808551,1
13.8,0
13.8,0
13.8,0
13.8,0
9.017171205041501,1
13.8,0
13.8,0
13.8,0
